Reference SFDC Data File Name,Master Type (Finnone/Manual),Finnone Master shared with PWC on 17-02-2025,SFDC Master Name,Rule - Primary / composite Key column,In which Category we need to add,Shoud not be empty
Generic Master(NBFC_INDUSTRY_M),Finnone Master,NBFC_INDUSTRY_M.xlsx,MasterData__c ,"Master_Table_Name__c,FinnoneCode__c,FinnoneVal__c,Type__c,SalesforceCode__c,Business_Unit__c",Type__c = 'Industry',
Generic Master(Deviation Level),,PROD user details,MasterData__c ,"Business_Unit__c,Level__c,ApprAmt__c,SchCode__c,Master_Table_Name__c,MiscField1__c",Master_Table_Name__c = 'Deviation_Sanction Authority Details',
Generic Master(CR_GENE_PARA1),Finnone Master,CR_GENE_PARA.xlsx,MasterData__c ,"FinnoneCode__c,FinnoneVal__c, Type__c,Parent_Record__r.FinnoneCode__c",Master_Table_Name__c = 'CR_GENE_PARA' AND RecordType.Name='Master' AND Type__c = 'Sub Industry' ,
Generic Master(CR_GENE_PARA2),,,MasterData__c ,"Value__c,Key__c,Type__c,Business_Unit__c",Master_Table_Name__c = 'CR_GENE_PARA' AND Type__c = 'Obligation Status',
Generic Master(CR_GENE_PARA3),,,MasterData__c ,"Value__c,Key__c,Type__c,Business_Unit__c",Master_Table_Name__c = 'CR_GENE_PARA' AND Type__c = 'Financier Name',
Generic Master(CR_GENE_PARA4),,,MasterData__c ,"FinnoneCode__c,FinnoneVal__c,Type__c,Business_Unit__c",Master_Table_Name__c = 'CR_GENE_PARA' AND Type__c = 'Profile Category',
Generic Master(CR_GENE_PARA5),,,MasterData__c ,"Master_Table_Name__c,Value__c,Type__c,Business_Unit__c,FinnoneCode__c",MasterData__c where Type__c = 'CFA' and Master_Table_Name__c='CR_GENE_PARA',
Generic Master(CR_GENE_PARA6),,,MasterData__c ,"Master_Table_Name__c,Key__c,Value__c,Type__c,Business_Unit__c",Type__c = 'Payment Frequency' and Master_Table_Name__c = 'CR_GENE_PARA',
Generic Master(CR_GENE_PARA7),,,MasterData__c ,"Master_Table_Name__c,Key__c,Value__c,Type__c,Business_Unit__c",Type__c = 'Obligation Source' and MASTER_TABLE_NAME__C = 'CR_GENE_PARA',
Generic Master(CR_GENE_PARA8),,,MasterData__c ,"Master_Table_Name__c,Key__c,Value__c,Type__c,Business_Unit__c",Type__c = 'Obligation Product' and Master_Table_Name__c='CR_GENE_PARA',
Generic Master(CR_GENE_PARA9),,,MasterData__c ,"Master_Table_Name__c,Key__c,Value__c,Type__c,Business_Unit__c",Type__c = 'Obligation Ownership' and Master_Table_Name__c = 'CR_GENE_PARA',
Generic Master (Sub_Ind_SelfEm),,CR_GENE_PARA.xlsx,MasterData__c ,Same as Generic Master(CR_GENE_PARA1),,
Generic Master(CR_GENE_PARA11),,,MasterData__c ,"FinnoneCode__c, FinnoneVal__c,Business_Unit__c",Type__c = '' and MASTER_TABLE_NAME__C = 'CR_GENE_PARA' and FinnoneCode__c ='PAYMODE',
Generic Master(CR_GENE_PARA12),,,MasterData__c ,"FinnoneCode__c,FinnoneVal__c,MiscField1__c,Business_Unit__c",FinnoneCode__c IN('APPREL') and Master_Table_Name__c = 'CR_GENE_PARA',
Generic Master(CR_GENE_PARA13),,,MasterData__c ,"FinnoneCode__c, Business_Unit__c, FinnoneVal__c, Type__c, Master_Table_Name__c",Type__c = 'DOWNSIZING' and MASTER_TABLE_NAME__C = 'CR_GENE_PARA' ,
Generic Master(CR_GENE_PARA14),,,MasterData__c ,"FinnoneCode__c,FinnoneVal__c,MiscField1__c,Business_Unit__c",MASTER_TABLE_NAME__C = 'CR_GENE_PARA' and FinnoneCode__c = 'TITLE',
Generic Master(CR_GENE_PARA15),,,MasterData__c ,"FinnoneCode__c,FinnoneVal__c,MiscField4__c,SalesforceCode__c,Business_Unit__c",MASTER_TABLE_NAME__C = 'CR_GENE_PARA' and FinnoneCode__c = 'DESTACCT',
Generic Master(CR_GENE_PARA16),,,MasterData__c ,"FinnoneCode__c, FinnoneVal__c, SalesforceCode__c, Business_Unit__c",MASTER_TABLE_NAME__C = 'CR_GENE_PARA' and FinnoneCode__c = 'RESTYP',
